text,font_size,font_color_red,font_color_green,font_color_blue,font_color_alpha,font_weight,output
Study of algorithms that improve automatically through experience,14,32,33,34,1,400,1
"For the journal, see .",14,32,33,34,1,400,1
(journal),16,51,102,204,1,400,1
Machine Learning,14,51,102,204,1,400,1
"""Statistical learning"" redirects here. For statistical learning in linguistics, see .",14,32,33,34,1,400,1
statistical learning in language acquisition,16,51,102,204,1,400,1
.mw-parser-output .nobold{font-weight:normal},16,0,0,0,1,400,1
Part of a series on,12.32,32,33,34,1,400,1
Machine learning,17.864,32,33,34,1,700,1
data mining,16,51,102,204,1,400,1
Paradigms,12.936,32,33,34,1,700,1
Supervised learning,16,51,102,204,1,400,1
Unsupervised learning,16,51,102,204,1,400,1
Online learning,16,51,102,204,1,400,1
Batch learning,12.32,51,102,204,1,400,1
Meta-learning,16,51,102,204,1,400,1
Semi-supervised learning,12.32,51,102,204,1,400,1
Self-supervised learning,16,51,102,204,1,400,1
Reinforcement learning,16,51,102,204,1,400,1
Rule-based learning,16,51,102,204,1,400,1
Quantum machine learning,16,51,102,204,1,400,1
Problems,12.936,32,33,34,1,700,1
Classification,16,51,102,204,1,400,1
Regression,16,51,102,204,1,400,1
Clustering,16,51,102,204,1,400,1
dimension reduction,16,51,102,204,1,400,1
density estimation,16,51,102,204,1,400,1
Anomaly detection,16,51,102,204,1,400,1
Data Cleaning,12.32,51,102,204,1,400,1
AutoML,16,51,102,204,1,400,1
Association rules,16,51,102,204,1,400,1
Semantic analysis,16,51,102,204,1,400,1
Structured prediction,16,51,102,204,1,400,1
Feature engineering,16,51,102,204,1,400,1
Feature learning,16,51,102,204,1,400,1
Learning to rank,16,51,102,204,1,400,1
Grammar induction,16,51,102,204,1,400,1
Ontology learning,16,51,102,204,1,400,1
Supervised learning,16,51,102,204,1,400,1
classification,16,51,102,204,1,400,1
regression,16,51,102,204,1,400,1
Decision trees,16,51,102,204,1,400,1
Ensembles,16,51,102,204,1,400,1
Bagging,16,51,102,204,1,400,1
Boosting,16,51,102,204,1,400,1
Random forest,16,51,102,204,1,400,1
Linear regression,16,51,102,204,1,400,1
Naive Bayes,16,51,102,204,1,400,1
Artificial neural networks,16,51,102,204,1,400,1
Logistic regression,16,51,102,204,1,400,1
Perceptron,16,51,102,204,1,400,1
Relevance vector machine (RVM),16,51,102,204,1,400,1
Support vector machine (SVM),16,51,102,204,1,400,1
Clustering,16,51,102,204,1,400,1
BIRCH,16,51,102,204,1,400,1
Hierarchical,16,51,102,204,1,400,1
-means,16,51,102,204,1,400,1
Fuzzy,16,51,102,204,1,400,1
DBSCAN,16,51,102,204,1,400,1
OPTICS,16,51,102,204,1,400,1
Mean shift,16,51,102,204,1,400,1
Dimensionality reduction,16,51,102,204,1,400,1
Factor analysis,16,51,102,204,1,400,1
t-SNE,16,51,102,204,1,400,1
Structured prediction,16,51,102,204,1,400,1
Graphical models,16,51,102,204,1,400,1
Bayes net,16,51,102,204,1,400,1
Conditional random field,16,51,102,204,1,400,1
Hidden Markov,16,51,102,204,1,400,1
Anomaly detection,16,51,102,204,1,400,1
RANSAC,12.32,51,102,204,1,400,1
Local outlier factor,16,51,102,204,1,400,1
